dataset,image_id,method,candidate_id,prompt_mode,detection_score,stability_score,boundary_score,composite_confidence,candidate_iou
deepcrack,deepcrack_0023,point,0,point,0.8440161347389221,0.9843031040430942,0.7871313095092773,0.8788953676879712,0.013266285945317632
deepcrack,deepcrack_0023,point,1,point,0.9422472715377808,0.7739954104079112,0.7106912136077881,0.8254701056598283,0.017762054125027356
deepcrack,deepcrack_0024,text,0,text,0.8330078125,0.25,0.8265528678894043,0.6273413419723511,0.17610837438423646
deepcrack,deepcrack_0024,text,1,text,0.78466796875,0.25,0.9172840714454651,0.6306882053613663,0.14361702127659576
deepcrack,deepcrack_0024,text,2,text,0.76611328125,0.25,0.9013771414756775,0.6192895978689194,0.015130768177461318
deepcrack,deepcrack_0024,text,3,text,0.6923828125,0.25,1.0,0.614453125,0.008971085501345663
deepcrack,deepcrack_0024,text,4,text,0.658203125,0.25,0.8535058498382568,0.5641577124595643,0.4793073477301598
deepcrack,deepcrack_0024,text,5,text,0.64453125,0.25,0.7683301568031311,0.5373950392007828,0.2947673243989494
deepcrack,deepcrack_0024,text,6,text,0.5947265625,0.25,0.7227944135665894,0.5060892283916474,0.11663807890222985
deepcrack,deepcrack_0024,text,7,text,0.55615234375,0.25,1.0,0.5599609375,0.0687667284331892
deepcrack,deepcrack_0024,text,8,text,0.4384765625,0.25,0.8020198941230774,0.4633955985307694,0.17550236609286057
deepcrack,deepcrack_0024,text,9,text,0.421875,0.25,0.8759267926216125,0.4752316981554031,0.23223350253807107
deepcrack,deepcrack_0024,text,10,text,0.38525390625,0.25,0.8404663801193237,0.4517181575298309,0.2560118886787355
deepcrack,deepcrack_0024,text,11,text,0.339111328125,0.25,0.6308577060699463,0.3808589577674866,0.013268998793727383
deepcrack,deepcrack_0024,text,12,text,0.276123046875,0.25,0.8353980779647827,0.40679873824119567,0.126798375438838
deepcrack,deepcrack_0024,box,0,box,0.9853515625,0.003394165757922115,0.8156968951225281,0.5992528067959048,0.0009682550660488278
deepcrack,deepcrack_0024,box,1,box,0.264404296875,0.3289366577617464,0.45426735281944275,0.3344563871714719,0.0007632559601311004
deepcrack,deepcrack_0024,box,2,box,0.263916015625,0.22094616636157785,0.4097239077091217,0.2853285414038327,0.002831616462432261
deepcrack,deepcrack_0024,point,0,point,0.93227618932724,0.9981014167727539,0.6118046641349792,0.8751971376351046,0.005874023181412912
deepcrack,deepcrack_0024,point,1,point,0.7963062524795532,0.9725274725274726,1.0,0.9089071163764367,0.008889195148842337
deepcrack,deepcrack_0025,text,0,text,0.77880859375,0.25,1.0,0.6490234375,0.14560862865947613
deepcrack,deepcrack_0025,text,1,text,0.72216796875,0.25,0.9516193270683289,0.6142720192670822,0.07796775769418661
deepcrack,deepcrack_0025,text,2,text,0.70654296875,0.25,0.6511560678482056,0.5329062044620514,0.20617138364779874
deepcrack,deepcrack_0025,text,3,text,0.7060546875,0.25,0.8764020204544067,0.5890223801136016,0.20794590025359255
deepcrack,deepcrack_0025,text,4,text,0.7001953125,0.25,0.7970768809318542,0.5668473452329635,0.40200220426157235
deepcrack,deepcrack_0025,text,5,text,0.66748046875,0.25,0.9805259108543396,0.5996236652135849,0.21598639455782312
deepcrack,deepcrack_0025,text,6,text,0.59375,0.25,0.8708102703094482,0.542702567577362,0.049731314118221785
deepcrack,deepcrack_0025,text,7,text,0.57861328125,0.25,1.0,0.5689453125,0.34354749120533234
deepcrack,deepcrack_0025,text,8,text,0.5556640625,0.25,0.9573371410369873,0.5490999102592469,0.04549500543962021
deepcrack,deepcrack_0025,text,9,text,0.54296875,0.25,0.8822217583656311,0.5252429395914078,0.09725948639325412
deepcrack,deepcrack_0025,text,10,text,0.40625,0.25,0.6250271201133728,0.4062567800283432,0.01967275134777263
deepcrack,deepcrack_0025,text,11,text,0.375244140625,0.25,0.9196503162384033,0.46751023530960084,0.05662983425414365
deepcrack,deepcrack_0025,text,12,text,0.372314453125,0.25,1.0,0.48642578125,0.12856306130417805
deepcrack,deepcrack_0025,text,13,text,0.337158203125,0.25,0.8277863264083862,0.42930986285209655,0.21673248232160897
deepcrack,deepcrack_0025,text,14,text,0.333740234375,0.25,0.6051289439201355,0.3722783297300339,0.1288196524865189
deepcrack,deepcrack_0025,text,15,text,0.316650390625,0.25,0.9059281349182129,0.44064218997955323,0.11121782558586246
deepcrack,deepcrack_0025,text,16,text,0.269287109375,0.25,1.0,0.44521484375,0.5112745098039215
deepcrack,deepcrack_0025,box,0,box,0.98876953125,0.01565610442746434,0.4759926199913025,0.5199856040474382,0.011541549578482538
deepcrack,deepcrack_0025,box,1,box,0.275390625,0.33038240130084995,0.3993493318557739,0.32562742341924095,0.0
deepcrack,deepcrack_0025,box,2,box,0.25634765625,0.3594283917793556,0.3803524374961853,0.3234271089968208,0.0
deepcrack,deepcrack_0025,point,0,point,0.725192666053772,0.9163054521791782,0.7629225254058838,0.8015146060356921,0.3011456628477905
deepcrack,deepcrack_0025,point,1,point,0.7125356197357178,0.9460009513541963,1.0,0.8661145808682558,0.1993358633776091
deepcrack,deepcrack_0026,text,0,text,0.7451171875,0.25,0.919996976852417,0.6155461192131042,0.10783040037793788
deepcrack,deepcrack_0026,text,1,text,0.68994140625,0.25,1.0,0.6134765625,0.6354154459158561
deepcrack,deepcrack_0026,text,2,text,0.658203125,0.25,1.0,0.60078125,0.11428230236446142
deepcrack,deepcrack_0026,text,3,text,0.5537109375,0.25,0.8653271794319153,0.5253161698579788,0.24393233635695025
deepcrack,deepcrack_0026,text,4,text,0.50537109375,0.25,1.0,0.5396484375,0.2741317226158671
deepcrack,deepcrack_0026,text,5,text,0.46533203125,0.25,1.0,0.5236328125,0.18747016706443914
deepcrack,deepcrack_0026,text,6,text,0.4130859375,0.25,0.6636713743209839,0.418652218580246,0.018396846254927726
deepcrack,deepcrack_0026,text,7,text,0.333740234375,0.25,1.0,0.47099609375,0.47257971014492756
deepcrack,deepcrack_0026,text,8,text,0.316162109375,0.25,0.9364491105079651,0.4480771213769913,0.30240801857963573
deepcrack,deepcrack_0026,text,9,text,0.303955078125,0.25,1.0,0.45908203125,0.11372214781444052
deepcrack,deepcrack_0026,text,10,text,0.263916015625,0.25,0.6772507429122925,0.3623790919780731,0.02066862435057601
deepcrack,deepcrack_0026,box,0,box,0.98779296875,0.7009321241376785,1.0,0.8904434309481875,0.755050226294293
deepcrack,deepcrack_0026,point,0,point,0.3656720519065857,0.954067513971349,0.978969931602478,0.7249349335532259,0.09651533472573376
deepcrack,deepcrack_0026,point,1,point,0.5258154273033142,0.21516266621942415,1.0,0.5356331040981241,0.3368843069873998
deepcrack,deepcrack_0027,text,0,text,0.71435546875,0.25,1.0,0.6232421875,0.34006801360272054
deepcrack,deepcrack_0027,text,1,text,0.69970703125,0.25,1.0,0.6173828125,0.19146067415730336
deepcrack,deepcrack_0027,text,2,text,0.66552734375,0.25,1.0,0.6037109375,0.34087346024636056
deepcrack,deepcrack_0027,text,3,text,0.63720703125,0.25,1.0,0.5923828125,0.532714765637498
deepcrack,deepcrack_0027,text,4,text,0.58984375,0.25,1.0,0.5734375,0.23631205673758865
deepcrack,deepcrack_0027,text,5,text,0.47119140625,0.25,1.0,0.5259765625,0.4556541019955654
deepcrack,deepcrack_0027,text,6,text,0.4326171875,0.25,1.0,0.510546875,0.1626093122193335
deepcrack,deepcrack_0027,text,7,text,0.427978515625,0.25,1.0,0.50869140625,0.20677200902934537
deepcrack,deepcrack_0027,text,8,text,0.42236328125,0.25,1.0,0.5064453125,0.17108721624850656
deepcrack,deepcrack_0027,box,0,box,0.984375,0.6255240904777346,1.0,0.8626834316672072,0.5345139139862667
deepcrack,deepcrack_0027,box,1,box,0.5712890625,0.5671284284335478,0.504334568977356,0.5530942171960807,0.0
deepcrack,deepcrack_0027,box,2,box,0.2802734375,0.24325265812108046,0.35163021087646484,0.2851553580614944,0.0
deepcrack,deepcrack_0027,point,0,point,0.6824247241020203,0.7583251530403559,1.0,0.7883836932049326,0.20141049574777017
deepcrack,deepcrack_0027,point,1,point,0.7215526700019836,0.9809739541954965,1.0,0.8819619519692172,0.1858426005132592
deepcrack,deepcrack_0027,point,2,point,0.5886572003364563,0.8659216603368698,1.0,0.788535461252487,0.21303258145363407
deepcrack,deepcrack_0027,point,3,point,0.42761528491973877,0.5948733792596776,1.0,0.6292517967087827,0.021536670547147845
deepcrack,deepcrack_0027,point,4,point,0.6153589487075806,0.5025136630954253,1.0,0.672023361566431,0.037717601547388784
deepcrack,deepcrack_0027,point,5,point,0.6410405039787292,0.974675599043392,1.0,0.8475526612566788,0.22438465941614197
deepcrack,deepcrack_0028,text,0,text,0.70703125,0.25,1.0,0.6203125,0.06953790937640197
deepcrack,deepcrack_0028,text,1,text,0.69775390625,0.25,0.7428486943244934,0.5523137360811233,0.031079854809437386
deepcrack,deepcrack_0028,text,2,text,0.681640625,0.25,1.0,0.61015625,0.021040462427745665
deepcrack,deepcrack_0028,text,3,text,0.646484375,0.25,1.0,0.59609375,0.03035413153456998
deepcrack,deepcrack_0028,text,4,text,0.62841796875,0.25,0.9678018689155579,0.5808176547288895,0.11527524608093329
deepcrack,deepcrack_0028,text,5,text,0.62060546875,0.25,0.9711736440658569,0.5785355985164642,0.04333507970960258
deepcrack,deepcrack_0028,text,6,text,0.60888671875,0.25,0.8873404264450073,0.5528897941112518,0.06768710099223137
deepcrack,deepcrack_0028,text,7,text,0.5712890625,0.25,0.8497469425201416,0.5284523606300354,0.02638623326959847
deepcrack,deepcrack_0028,text,8,text,0.5546875,0.25,0.7880997061729431,0.5063999265432357,0.03572809527492073
deepcrack,deepcrack_0028,text,9,text,0.55322265625,0.25,0.9317427277565002,0.5417247444391251,0.20304454891426013
deepcrack,deepcrack_0028,text,10,text,0.533203125,0.25,0.8912724852561951,0.5235993713140488,0.02264848624913335
deepcrack,deepcrack_0028,text,11,text,0.52490234375,0.25,0.8145990371704102,0.5011106967926026,0.011853448275862068
deepcrack,deepcrack_0028,text,12,text,0.5078125,0.25,0.889910876750946,0.5131027191877365,0.02526575258049607
deepcrack,deepcrack_0028,text,13,text,0.50732421875,0.25,0.7609821557998657,0.4806752264499664,0.023517695725448137
deepcrack,deepcrack_0028,text,14,text,0.493408203125,0.25,0.8112815618515015,0.4876836717128754,0.003170675121800325
deepcrack,deepcrack_0028,text,15,text,0.4736328125,0.25,0.8393275141716003,0.4867850035429001,0.031336618417000306
deepcrack,deepcrack_0028,text,16,text,0.456787109375,0.25,0.8709372878074646,0.4879491657018662,0.031443139678615575
deepcrack,deepcrack_0028,text,17,text,0.413330078125,0.25,0.9400817155838013,0.4878524601459503,0.08092485549132948
deepcrack,deepcrack_0028,text,18,text,0.4091796875,0.25,0.8656455874443054,0.4675832718610764,0.08782495997560417
deepcrack,deepcrack_0028,text,19,text,0.37158203125,0.25,0.9969653487205505,0.48537414968013765,0.08099568434032059
deepcrack,deepcrack_0028,text,20,text,0.366455078125,0.25,0.931096613407135,0.46685618460178374,0.051353593243345146
deepcrack,deepcrack_0028,text,21,text,0.3603515625,0.25,0.9381056427955627,0.4661670356988907,0.05405812377653968
deepcrack,deepcrack_0028,text,22,text,0.35791015625,0.25,1.0,0.4806640625,0.0386439623668455
deepcrack,deepcrack_0028,text,23,text,0.3466796875,0.25,1.0,0.476171875,0.12518706973959892
deepcrack,deepcrack_0028,text,24,text,0.341552734375,0.25,0.9881335496902466,0.47115448117256165,0.14635375422935715
deepcrack,deepcrack_0028,text,25,text,0.318115234375,0.25,1.0,0.46474609375,0.08186244674376142
deepcrack,deepcrack_0028,text,26,text,0.317138671875,0.25,1.0,0.46435546875,0.16367893466013025
deepcrack,deepcrack_0028,text,27,text,0.31298828125,0.25,0.9701695442199707,0.4552376985549927,0.05945862574226884
deepcrack,deepcrack_0028,text,28,text,0.295654296875,0.25,0.7342256307601929,0.3893181264400482,0.027975779872767687
deepcrack,deepcrack_0028,text,29,text,0.292236328125,0.25,0.8208968639373779,0.4096187472343445,0.033876370280146166
deepcrack,deepcrack_0028,text,30,text,0.287353515625,0.25,1.0,0.45244140625,0.15631613515288623
deepcrack,deepcrack_0028,text,31,text,0.28369140625,0.25,1.0,0.4509765625,0.02263771923047207
deepcrack,deepcrack_0028,text,32,text,0.276123046875,0.25,0.849947452545166,0.4104360818862915,0.02785536933581626
deepcrack,deepcrack_0028,text,33,text,0.275390625,0.25,0.8678758144378662,0.41462520360946653,0.04807910030945732
deepcrack,deepcrack_0028,text,34,text,0.266845703125,0.25,0.8565182685852051,0.40836784839630125,0.019359814886232164
deepcrack,deepcrack_0028,text,35,text,0.2568359375,0.25,1.0,0.440234375,0.01820847156855181
deepcrack,deepcrack_0028,text,36,text,0.255615234375,0.25,1.0,0.43974609375,0.005055611729019211
deepcrack,deepcrack_0028,text,37,text,0.251708984375,0.25,0.8876619935035706,0.41009909212589263,0.13092619282409163
deepcrack,deepcrack_0028,box,0,box,0.99267578125,0.2671766784656999,0.9303585886955261,0.7231717971368765,0.5526392195575169
deepcrack,deepcrack_0028,point,0,point,0.6897053718566895,0.7583188900777693,1.0,0.7912937602698951,0.05131657690005984
deepcrack,deepcrack_0028,point,1,point,0.7662195563316345,0.935558512892283,1.0,0.8839333020449529,0.009004113948614454
deepcrack,deepcrack_0028,point,2,point,0.8701286911964417,0.9992727272727272,1.0,0.9477969310240313,0.019171064886681154
deepcrack,deepcrack_0029,text,0,text,0.9189453125,0.44120668721397216,1.0,0.7720004655248902,0.6657889787474139
deepcrack,deepcrack_0029,text,1,text,0.43310546875,0.2996692454311021,0.9486107230186462,0.5152791041555473,0.1571320564516129
deepcrack,deepcrack_0029,text,2,text,0.26904296875,0.40745087336244545,1.0,0.5002249931768559,0.4247715096123542
deepcrack,deepcrack_0029,text,3,text,0.266357421875,0.3140416498180348,0.7969955801963806,0.41570644123540734,0.2364519899120379
deepcrack,deepcrack_0029,text,4,text,0.25537109375,0.28858024691358025,0.9408397674560547,0.4383614657837668,0.10847778127954617
deepcrack,deepcrack_0029,box,0,box,0.9873046875,0.7754315320527562,1.0,0.9163229112184647,0.5359258792386234
deepcrack,deepcrack_0029,point,0,point,0.8106865286827087,0.870792573313449,0.9084620475769043,0.8561675240270167,0.582738130964528
deepcrack,deepcrack_0030,text,0,text,0.93310546875,0.46965832245818007,1.0,0.787622600360363,0.7712790518700939
deepcrack,deepcrack_0030,text,1,text,0.288330078125,0.36948761024779503,0.8237639665603638,0.4505936864768192,0.4102406238776871
deepcrack,deepcrack_0030,text,2,text,0.27001953125,0.2917460979387585,1.0,0.46011894677856546,0.1513954442848348
deepcrack,deepcrack_0030,box,0,box,0.97607421875,0.7183524111668663,1.0,0.8918530314084032,0.43579087784105486
deepcrack,deepcrack_0030,box,1,box,0.255615234375,0.9826735016184076,0.9482427835464478,0.6832425152030546,0.458803611738149
deepcrack,deepcrack_0030,point,0,point,0.7954555153846741,0.9966854488721728,1.0,0.9170221132591301,0.6177315147164394
deepcrack,deepcrack_0031,text,0,text,0.943359375,0.4947346027018402,1.0,0.8005008609456441,0.8695692622569542
deepcrack,deepcrack_0031,box,0,box,0.9853515625,0.8498470401181766,1.0,0.9415870890413618,0.8800372266170312
deepcrack,deepcrack_0031,point,0,point,0.8316725492477417,0.9971603005240844,1.0,0.9316751248825262,0.9239663305892147
deepcrack,deepcrack_0032,text,0,text,0.80517578125,0.4834566826295168,0.8847816586494446,0.712475566082692,0.6179293444966306
deepcrack,deepcrack_0032,text,1,text,0.466064453125,0.2860254691689008,0.8688234686851501,0.5037405626304028,0.14505917974126067
deepcrack,deepcrack_0032,text,2,text,0.3828125,0.2913876702839991,0.7673467993736267,0.44694738444280635,0.18981077147016012
deepcrack,deepcrack_0032,box,0,box,0.9765625,0.8825966562948973,0.8793839812278748,0.9193798250101828,0.6264809810850135
deepcrack,deepcrack_0032,box,1,box,0.394287109375,0.9873008745814944,0.9312666058540344,0.7360868013170316,0.14265850945494996
deepcrack,deepcrack_0032,point,0,point,0.4734121561050415,0.8848780852095214,1.0,0.7490721922653492,0.11895161290322581
deepcrack,deepcrack_0032,point,1,point,0.46970269083976746,0.8730020042494958,1.0,0.7434317778232304,0.12177650429799428
deepcrack,deepcrack_0032,point,2,point,0.398704469203949,0.9297579503606406,0.9491260647773743,0.7221785865021473,0.15762854734475976
deepcrack,deepcrack_0032,point,3,point,0.46527254581451416,0.5577692795735824,0.7185539603233337,0.5609667562573929,0.05835010060362173
deepcrack,deepcrack_0032,point,4,point,0.8635871410369873,0.7959586946073928,0.48717883229255676,0.7458151076005215,0.04788064269319051
deepcrack,deepcrack_0032,point,5,point,0.4122282862663269,0.7908570665619624,1.0,0.6916912878032175,0.3152960085721939
deepcrack,deepcrack_0032,point,6,point,0.6300184726715088,0.9414054031451761,1.0,0.8314992801694152,0.5714285714285714
deepcrack,deepcrack_0032,point,7,point,0.6167756915092468,0.9314474693469492,1.0,0.8227168908751309,0.5738636363636364
deepcrack,deepcrack_0032,point,8,point,0.7332570552825928,0.9308859671679155,0.9960790872573853,0.8681326824361538,0.55703125
deepcrack,deepcrack_0032,point,10,point,0.6038275361061096,0.9251357502477309,0.903231143951416,0.7911363130170037,0.5400274473924978
deepcrack,deepcrack_0032,point,11,point,0.25407662987709045,0.7795104426413908,0.4449727237224579,0.48570248780593744,0.048861368244039666
deepcrack,deepcrack_0032,point,12,point,0.618029773235321,0.8722224307723515,1.0,0.8024897600644514,0.456324056213833
deepcrack,deepcrack_0032,point,13,point,0.6963623762130737,0.8782155224781839,0.1960788518190384,0.6349400963073535,0.014644351464435146
deepcrack,deepcrack_0033,text,0,text,0.9384765625,0.48941302599839187,1.0,0.7966851840994371,0.6182055100521221
deepcrack,deepcrack_0033,text,1,text,0.779296875,0.32130314232902035,0.8479150533676147,0.6361536131570609,0.2401400663472171
deepcrack,deepcrack_0033,text,2,text,0.5068359375,0.4783374427615358,0.9338347911834717,0.6036111777624055,0.7924528301886793
deepcrack,deepcrack_0033,text,3,text,0.35400390625,0.25126945126945127,0.53373122215271,0.36297867598248545,0.014065180102915952
deepcrack,deepcrack_0033,text,4,text,0.306396484375,0.2509650735294118,0.6129529476165771,0.3636346063894384,0.013547513063673312
deepcrack,deepcrack_0033,text,5,text,0.298828125,0.251480384900074,0.6124611496925354,0.3606646721381598,0.01618249171378436
deepcrack,deepcrack_0033,box,0,box,0.986328125,0.47851715271587436,0.8863612413406372,0.7836025637857154,0.4855100463678516
deepcrack,deepcrack_0033,box,1,box,0.6533203125,0.46102179359457107,0.4886264204978943,0.5448423578825734,0.0
deepcrack,deepcrack_0033,box,2,box,0.4677734375,0.9642521841588962,0.4575378894805908,0.6389821118257614,7.593975446146057e-05
deepcrack,deepcrack_0033,box,3,box,0.3916015625,0.5906220791930243,0.46226537227630615,0.47892469578663505,0.0
deepcrack,deepcrack_0033,box,4,box,0.382568359375,0.9300970980445005,0.875709056854248,0.6974885922791372,0.23183520599250937
deepcrack,deepcrack_0033,box,5,box,0.29931640625,0.8876371311336679,1.0,0.6803995583967838,0.5686427457098284
deepcrack,deepcrack_0033,point,0,point,0.8256155252456665,0.9860993229111706,0.9428895115852356,0.9111033510134852,0.6060017652250662
deepcrack,deepcrack_0033,point,1,point,0.7410387396812439,0.7415252880499738,0.8930906653404236,0.7792220130250942,0.2608534322820037
deepcrack,deepcrack_0034,text,0,text,0.92431640625,0.25,1.0,0.7072265625,0.581871852752214
deepcrack,deepcrack_0034,text,1,text,0.80712890625,0.25,0.8763334155082703,0.6294349163770676,0.2465955097534045
deepcrack,deepcrack_0034,text,2,text,0.5517578125,0.25,1.0,0.558203125,0.7700826446280992
deepcrack,deepcrack_0034,text,3,text,0.3583984375,0.25,0.6437420845031738,0.39179489612579343,0.015255231762174849
deepcrack,deepcrack_0034,text,4,text,0.32373046875,0.25,0.6185458302497864,0.3716286450624466,0.013927576601671309
deepcrack,deepcrack_0034,text,5,text,0.310546875,0.25,0.49825143814086914,0.3362816095352173,0.0
deepcrack,deepcrack_0034,box,0,box,0.9912109375,0.683571471845352,1.0,0.8857343901458732,0.736950658416627
deepcrack,deepcrack_0034,box,1,box,0.4423828125,0.7993581562959349,0.9444819092750549,0.692848957022341,0.2369371081132434
deepcrack,deepcrack_0034,box,2,box,0.322509765625,0.9342816946750526,1.0,0.7060024993862684,0.5912475031777737
deepcrack,deepcrack_0034,box,3,box,0.304443359375,0.561185552080109,0.47983118891716003,0.43815008420732815,0.0
deepcrack,deepcrack_0034,point,0,point,0.8341466188430786,0.9598828395380057,1.0,0.9196176413755335,0.5464445868033312
